Series 1: 1.0 Fixed C1D1,
,
-0.081807557,2.024319662
5.37692693,95.60214814
10.77489009,320.7537982
16.12810952,774.6466136
21.59919862,943.1242696
26.95508932,913.2116423
32.36106628,686.9469642
37.51828148,452.5641382
42.86816183,386.213757
48.27246925,149.8274807
,
Series 2: 0.5 Fixed C1D1,
,
-0.16461684,-0.006956425
5.361233235,0.459124047
10.556514,-3.151260504
16.00990595,58.03745339
21.36512883,24.07618677
26.64288497,20.47275864
32.16472814,-3.352996828
,
Series 3: 1.0 Esc C1D15,
,
0,-2.017363237
5.284100395,32.84128221
10.65735433,108.1932773
16.12076354,230.1115811
21.49201402,293.3176582
26.85792198,324.1346207
32.19711726,193.0060104
37.38071122,118.5444376
42.66080472,129.1112471
48.17296455,46.58022149
,
Series 4: 1.2,
5 Esc C1D15,
,
-0.082141466,-7.36E-12
5.44571206,12.61199844
10.74917914,164.8811843
16.20724581,254.4103734
21.57281986,283.2030163
26.8666036,376.7669319
32.12232178,239.5584061
37.315933,225.8264233
42.66180644,135.1842061
48.17396628,52.65318048
,
Series 5: 1.5 Esc C1D15,
,
-0.082141466,-7.36E-12
5.295119372,99.64383104
10.83165452,164.8881407
16.24330792,473.0368969
21.59652735,426.9297123
26.82586677,629.7999332
32.22182648,342.8056653
37.48789582,268.351049
42.75463298,197.9450721
47.9365574,113.3619011
